"filename", "language", "Markdown", "C++", "YAML", "CMake", "JSON", "HTML", "Dart", "Swift", "XML", "Properties", "comment", "blank", "total"
"d:\flutter_apps\utilities\utility_tools\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\flutter_apps\utilities\utility_tools\analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"d:\flutter_apps\utilities\utility_tools\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"d:\flutter_apps\utilities\utility_tools\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 11, 1, 46
"d:\flutter_apps\utilities\utility_tools\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"d:\flutter_apps\utilities\utility_tools\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"d:\flutter_apps\utilities\utility_tools\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"d:\flutter_apps\utilities\utility_tools\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"d:\flutter_apps\utilities\utility_tools\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"d:\flutter_apps\utilities\utility_tools\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\flutter_apps\utilities\utility_tools\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\flutter_apps\utilities\utility_tools\devtools_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\flutter_apps\utilities\utility_tools\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"d:\flutter_apps\utilities\utility_tools\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"d:\flutter_apps\utilities\utility_tools\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"d:\flutter_apps\utilities\utility_tools\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"d:\flutter_apps\utilities\utility_tools\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\flutter_apps\utilities\utility_tools\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 1, 38
"d:\flutter_apps\utilities\utility_tools\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 1, 27
"d:\flutter_apps\utilities\utility_tools\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\flutter_apps\utilities\utility_tools\lib\classes\chain_executer.dart", "Dart", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 5, 16, 113
"d:\flutter_apps\utilities\utility_tools\lib\classes\js_change_notifier.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"d:\flutter_apps\utilities\utility_tools\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 538, 0, 0, 0, 25, 59, 622
"d:\flutter_apps\utilities\utility_tools\lib\models\js_script_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 6, 19, 106
"d:\flutter_apps\utilities\utility_tools\lib\models\js_script_model.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 4, 13, 102
"d:\flutter_apps\utilities\utility_tools\lib\models\saved_chain.dart", "Dart", 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 6, 30, 197
"d:\flutter_apps\utilities\utility_tools\lib\models\saved_chain.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 4, 13, 112
"d:\flutter_apps\utilities\utility_tools\lib\models\tool.dart", "Dart", 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 9, 18, 130
"d:\flutter_apps\utilities\utility_tools\lib\page\home.dart", "Dart", 0, 0, 0, 0, 0, 0, 1092, 0, 0, 0, 21, 89, 1202
"d:\flutter_apps\utilities\utility_tools\lib\services\ai_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 546, 0, 0, 0, 46, 103, 695
"d:\flutter_apps\utilities\utility_tools\lib\services\app_settings.dart", "Dart", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 4, 15, 91
"d:\flutter_apps\utilities\utility_tools\lib\services\chain_persistence_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 23, 29, 187
"d:\flutter_apps\utilities\utility_tools\lib\services\file_converter.dart", "Dart", 0, 0, 0, 0, 0, 0, 455, 0, 0, 0, 17, 57, 529
"d:\flutter_apps\utilities\utility_tools\lib\services\js_script_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 3, 29, 222
"d:\flutter_apps\utilities\utility_tools\lib\settings_help.md", "Markdown", 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 194
"d:\flutter_apps\utilities\utility_tools\lib\text_tools\ai_tools.dart", "Dart", 0, 0, 0, 0, 0, 0, 3290, 0, 0, 0, 61, 183, 3534
"d:\flutter_apps\utilities\utility_tools\lib\text_tools\base_ai_tool.dart", "Dart", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 10, 13, 111
"d:\flutter_apps\utilities\utility_tools\lib\text_tools\encoding_decoding_tool.dart", "Dart", 0, 0, 0, 0, 0, 0, 717, 0, 0, 0, 30, 88, 835
"d:\flutter_apps\utilities\utility_tools\lib\text_tools\js_ai_tool.dart", "Dart", 0, 0, 0, 0, 0, 0, 387, 0, 0, 0, 12, 50, 449
"d:\flutter_apps\utilities\utility_tools\lib\text_tools\js_tool.dart", "Dart", 0, 0, 0, 0, 0, 0, 273, 0, 0, 0, 29, 41, 343
"d:\flutter_apps\utilities\utility_tools\lib\text_tools\misc_tools.dart", "Dart", 0, 0, 0, 0, 0, 0, 1473, 0, 0, 0, 49, 200, 1722
"d:\flutter_apps\utilities\utility_tools\lib\text_tools\splitter_tools.dart", "Dart", 0, 0, 0, 0, 0, 0, 240, 0, 0, 0, 11, 28, 279
"d:\flutter_apps\utilities\utility_tools\lib\text_tools\text_analyzer_tools.dart", "Dart", 0, 0, 0, 0, 0, 0, 527, 0, 0, 0, 17, 60, 604
"d:\flutter_apps\utilities\utility_tools\lib\text_tools\text_manipulation_tools.dart", "Dart", 0, 0, 0, 0, 0, 0, 7685, 0, 0, 0, 307, 928, 8920
"d:\flutter_apps\utilities\utility_tools\lib\text_tools\text_tools.dart", "Dart", 0, 0, 0, 0, 0, 0, 747, 0, 0, 0, 63, 118, 928
"d:\flutter_apps\utilities\utility_tools\lib\text_tools\text_transform_tools.dart", "Dart", 0, 0, 0, 0, 0, 0, 600, 0, 0, 0, 34, 75, 709
"d:\flutter_apps\utilities\utility_tools\lib\theme\color_extensions.dart", "Dart", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"d:\flutter_apps\utilities\utility_tools\lib\widgets\category_toolbar.dart", "Dart", 0, 0, 0, 0, 0, 0, 374, 0, 0, 0, 9, 27, 410
"d:\flutter_apps\utilities\utility_tools\lib\widgets\chain_library_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 442, 0, 0, 0, 6, 32, 480
"d:\flutter_apps\utilities\utility_tools\lib\widgets\chain_save_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 208, 0, 0, 0, 4, 21, 233
"d:\flutter_apps\utilities\utility_tools\lib\widgets\chain_tools_panel.dart", "Dart", 0, 0, 0, 0, 0, 0, 591, 0, 0, 0, 3, 23, 617
"d:\flutter_apps\utilities\utility_tools\lib\widgets\input_text_field.dart", "Dart", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 1, 10, 105
"d:\flutter_apps\utilities\utility_tools\lib\widgets\io_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 1047, 0, 0, 0, 64, 78, 1189
"d:\flutter_apps\utilities\utility_tools\lib\widgets\js_script_library_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 896, 0, 0, 0, 33, 81, 1010
"d:\flutter_apps\utilities\utility_tools\lib\widgets\settings_editor.dart", "Dart", 0, 0, 0, 0, 0, 0, 1707, 0, 0, 0, 37, 111, 1855
"d:\flutter_apps\utilities\utility_tools\lib\widgets\status_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 2, 8, 99
"d:\flutter_apps\utilities\utility_tools\lib\widgets\tool_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 214, 0, 0, 0, 5, 16, 235
"d:\flutter_apps\utilities\utility_tools\linux\CMakeLists.txt", "CMake", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 25, 129
"d:\flutter_apps\utilities\utility_tools\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 10, 89
"d:\flutter_apps\utilities\utility_tools\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 32
"d:\flutter_apps\utilities\utility_tools\linux\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\flutter_apps\utilities\utility_tools\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"d:\flutter_apps\utilities\utility_tools\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\flutter_apps\utilities\utility_tools\linux\runner\main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\flutter_apps\utilities\utility_tools\linux\runner\my_application.cc", "C++", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"d:\flutter_apps\utilities\utility_tools\linux\runner\my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\flutter_apps\utilities\utility_tools\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 4, 27
"d:\flutter_apps\utilities\utility_tools\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"d:\flutter_apps\utilities\utility_tools\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"d:\flutter_apps\utilities\utility_tools\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"d:\flutter_apps\utilities\utility_tools\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"d:\flutter_apps\utilities\utility_tools\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"d:\flutter_apps\utilities\utility_tools\pubspec.yaml", "YAML", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 48, 16, 123
"d:\flutter_apps\utilities\utility_tools\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 10, 7, 31
"d:\flutter_apps\utilities\utility_tools\web\index.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 15, 5, 39
"d:\flutter_apps\utilities\utility_tools\web\manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"d:\flutter_apps\utilities\utility_tools\windows\CMakeLists.txt", "CMake", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 20, 109
"d:\flutter_apps\utilities\utility_tools\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 12, 110
"d:\flutter_apps\utilities\utility_tools\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 30
"d:\flutter_apps\utilities\utility_tools\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\flutter_apps\utilities\utility_tools\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 31
"d:\flutter_apps\utilities\utility_tools\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 7, 41
"d:\flutter_apps\utilities\utility_tools\windows\runner\flutter_window.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"d:\flutter_apps\utilities\utility_tools\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\flutter_apps\utilities\utility_tools\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\flutter_apps\utilities\utility_tools\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\flutter_apps\utilities\utility_tools\windows\runner\utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"d:\flutter_apps\utilities\utility_tools\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\flutter_apps\utilities\utility_tools\windows\runner\win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\flutter_apps\utilities\utility_tools\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 186, 578, 65, 474, 248, 19, 25362, 69, 470, 8, 1246, 3070, 31795